Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,year_funding,month_funding
Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bangalore,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000,2018,6
IndigoLearn,Education,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed/Angel Funding,150000,2018,6
Vedantu,Education,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000,2018,6
Kaleidofin,Finance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed/Angel Funding,2800000,2018,6
Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed/Angel Funding,1000000,2018,6
TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000,2018,6
Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed/Angel Funding,1000000,2018,6
AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000,2018,6
mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed/Angel Funding,2000000,2018,6
Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,22000000,2018,5
Fyle Technologies,Technology,AI Based Expense Management Platform,Bangalore,Pravega Ventures and Beenext,Seed/Angel Funding,1100000,2018,5
True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,23000000,2018,5
Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000,2018,5
Capital Float,Finance,Online Lending Platform,Bangalore,Amazon,Private Equity,22000000,2018,5
Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed/Angel Funding,246000,2018,5
POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000,2018,5
1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000,2018,5
Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000,2018,5
MyLoanCare,Finance,B2C Online Loans Marketplace,Gurugram,SAR Group,Seed/Angel Funding,978000,2018,5
Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000,2018,5
Urban Ladder,eCommerce,Online Furniture Store,Bangalore,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000,2018,5
Kuvera,Consumer Internet,Online Financial Planning,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed/Angel Funding,250000,2018,5
Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000,2018,5
Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000,2018,5
MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bangalore,"HDFC Life, HDFC Asset Management",Private Equity,10000000,2018,5
Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000,2018,5
Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000,2018,5
Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed/Angel Funding,1100000,2018,5
Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000,2018,5
Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,38400000,2018,5
Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000,2018,4
HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed/Angel Funding,1000000,2018,4
Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000,2018,4
Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,1310000,2018,4
Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed/Angel Funding,500000,2018,4
Zappfresh,Food & Beverage,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed/Angel Funding,3000000,2018,4
CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed/Angel Funding,1000000,2018,4
Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed/Angel Funding,1000000,2018,4
Smartcoin,Finance,Micro lending company,Bangalore,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed/Angel Funding,2000000,2018,4
The Print,Media,News portal,Delhi,Ratan Tata,Seed/Angel Funding,535000,2018,4
DriveU,Technology,Professional Car Drivers Hiring App,Bangalore,Amit Singhal and Unitus Seed Fund,Private Equity,3000000,2018,4
BigBasket,Consumer Internet,Online Grocery & Food Store,Bangalore,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000,2018,4
Pratilipi,Publishing,E-Publishing,Bangalore,Omidyar Network,Private Equity,4300000,2018,4
Healthi,Healthcare,Preventive Health Checkup,Bangalore,Montane Ventures,Private Equity,3100000,2018,4
Swiggy,Food & Beverage,Online Food Delivery,Bangalore,Naspers,Private Equity,100000000,2018,4
Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000,2018,4
healthifyme,Healthcare,Mobile Weight Loss Coach,Bangalore,Sistema Asia Fund,Private Equity,12000000,2018,4
Lendingkart,Finance,Online Lending Platform,Bangalore,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000,2018,4
Cashify,eCommerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089,2018,4
holachef,Food & Beverage,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed/Angel Funding,311200,2018,4
Littlemore,Education,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000,2018,4
Shirsa Labs,Education,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000,2018,4
MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,5000000,2018,4
Infibeam,eCommerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000,2018,3
happay,Finance,Expense Management,Bangalore,Sequoia and Jerry Yang,Seed/Angel Funding,250000,2018,3
Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed/Angel Funding,150000,2018,3
AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,3800000,2018,3
Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed/Angel Funding,500000,2018,3
Udaan,eCommerce,B2B Marketplace,Bangalore,Lightspeed & Yuri Milner,Private Equity,50000000,2018,3
Capillary,Technology,SaaS,Bangalore,"Wargburg Pincus, Sequoia",Private Equity,20000000,2018,3
The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000,2018,3
Avishkaar Box,Education,Education,Delhi,Auxano Deals,Private Equity,772500,2018,3
Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000,2018,3
Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed/Angel Funding,250000,2018,3
Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000,2018,3
Credy,Technology,SaaS,Bangalore,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed/Angel Funding,1400000,2018,3
EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private Equity,15700000,2018,3
Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000,2018,3
Appario Retail Pvt Ltd.,eCommerce,Retail,Delhi,Amazon-Patni JV,Private Equity,18840000,2018,3
Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000,2018,3
Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000,2018,3
Kuants,Technology,Algorithmic Trading,Gurugram,"Pankaj Chopra, Ankush Gupta",Seed/Angel Funding,80000,2018,3
Razorpay,Technology,Payment Gateway,Bangalore,"Tiger Global, Y Combinator",Private Equity,20000000,2018,3
Streak,Technology,Algorithmic Trading,Bangalore,"Indian fintech fund, Rainmatter",Seed/Angel Funding,354600,2018,3
Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,1000000,2018,3
ShareChat,Technology,Social,Bangalore,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000,2018,3
Paperflite,Technology,IT,Chennai,The Chennai Angels,Seed/Angel Funding,400000,2018,3
OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,4000000,2018,3
Milkbasket,eCommerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,3000000,2018,3
NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000,2018,3
Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Debt Funding,8600000,2018,3
GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,1000000,2018,2
Axio,Healthcare,Hemostatic Dressing Solutions,Bangalore,RNT Capital,Private Equity,7400000,2018,2
eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000,2018,2
The Wedding Brigade,Consumer Internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000,2018,2
PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000,2018,2
Scapic,Technology,Virtual Reality,Bangalore,"Axilor Ventures, Newfort Capital",Seed/Angel Funding,500000,2018,2
MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investor,Private Equity,7600000,2018,2
CureFit,Healthcare,Fitness,Bangalore,"HDFC Bank, Axis Bank",Debt Funding,10000000,2018,2
iNurture,Technology,Education Solutions,Bangalore,Ventureast,Private Equity,4400000,2018,2
Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,12300000,2018,2
HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,1000000,2018,2
Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000,2018,2
Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,10000000,2018,2
The Label Life,eCommerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,3100000,2018,2
eShakti,eCommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,2300000,2018,2
Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,5000000,2018,2
Vahdam Tea,eCommerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000,2018,2
Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,50000,2018,2
Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bangalore,Village Capital,Seed/Angel Funding,50000,2018,2
Furlenco,Technology,Furniture Rental Platform,Bangalore,Aamir Khan,Debt Funding,1200000,2018,2
I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,1800000,2018,2
Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,17500000,2018,2
Shopholix,eCommerce,Fashion and Lifestyle Coupon Platform,Gurugram,Munesh Khanna,Seed/Angel Funding,233000,2018,2
MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,27000000,2018,2
Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000,2018,2
DocsApp,Technology,Mobile Application for Doctor Consultation,Bangalore,Bessemer Venture Partners,Private Equity,7200000,2018,2
Tea Box,eCommerce,Fresh Indian Tea Selling Platform across 112 countries,Bangalore,RB Investments,Private Equity,7000000,2018,2
Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bangalore,Matrix Partners,Private Equity,6000000,2018,2
HomeLane,eCommerce,Online Furniture Marketplace,Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000,2018,2
Purplle,eCommerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000,2018,2
9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000,2018,2
Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000,2018,2
Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000,2018,2
Specsmakers,eCommerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,10000000,2018,1
Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investor,Seed/Angel Funding,1000000,2018,1
Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,1000000,2018,1
DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000,2018,1
CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5000000,2018,1
TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,7600000,2018,1
Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,3000000,2018,1
FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3000000,2018,1
OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3600000,2018,1
NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed/Angel Funding,872000,2018,1
Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25000000,2018,1
Universal Sportsbiz Pvt. Ltd,eCommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,Private Equity,15000000,2018,1
Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,8250000,2018,1
Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investor,Seed/Angel Funding,900000,2018,1
Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,3000000,2018,1
ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,692000,2018,1
Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230,2018,1
Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2700000,2018,1
Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,400000,2018,1
RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000,2018,1
Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,26000000,2018,1
IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,10000000,2018,1
TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,250000,2018,1
Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed Investor,Private Equity,270000000,2018,1
ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,39000,2018,1
Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000,2018,1
Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,13000000,2018,1
FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,1500000,2018,1
MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1350000,2018,1
Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2000000,2018,1
Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,110000000,2018,1
PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38700000,2017,12
Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000,2017,12
Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed/Angel Funding,450000,2017,12
Zefo,eCommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000,2017,12
Yaantra,eCommerce,Mobile repair and Refurbishment platform,Delhi,Carpediem Capital,Private Equity,3100000,2017,12
Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000,2017,12
Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000,2017,12
Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,2000000,2017,12
MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000,2017,12
OneStepUp,Technology,Education Technology platform,Delhi,Orient BlackSwan,Seed/Angel Funding,336000,2017,12
Parallel Dots,Technology,AI-powered deep learning solutions,Gurugram,"Multipoint Capital,",Private Equity,1400000,2017,12
Easy Diner,Consumer Internet,online restaurant reservation platform,Gurugram,Saama Capital and DSG Consumer Partners,Private Equity,4500000,2017,12
Meesho,eCommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000,2017,12
StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,1100000,2017,12
UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed Investor,Seed/Angel Funding,235000,2017,12
Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurugram,"Wellington Management, DG Ventures India, True North",Private Equity,77000000,2017,12
Chaayos,eCommerce,Online Chai ordering platform,Gurugram,Tiger Global Management,Private Equity,2000000,2017,12
KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000,2017,12
Renew Buy,Consumer Internet,Online Insurance Aggregator,Delhi,Amicus Capital,Private Equity,9200000,2017,12
Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7000000,2017,12
Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,7000000,2017,12
LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed/Angel Funding,500000,2017,12
Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000,2017,12
RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000,2017,12
Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,3100000,2017,12
FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed/Angel Funding,500000,2017,12
SpotDraft,Consumer Internet,Contract Automation,Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed/Angel Funding,550000,2017,12
OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurugram,Kotak Mahindra Bank,Debt Funding,3800000,2017,12
CashFree,Technology,Payments Platform for Marketplaces and Fintechs,Delhi,Y Combinator,Seed/Angel Funding,120000,2017,12
Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7700000,2017,12
GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000,2017,12
NetMeds,eCommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14000000,2017,12
Aahaa Stores,eCommerce,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,1000000,2017,12
Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,1300000,2017,12
PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000,2017,11
Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000,2017,11
OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000,2017,11
Power2SME,eCommerce,Buying Club for Small Businesses,Gurugram,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000,2017,11
Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,1000000,2017,11
AYE Finance,Consumer Internet,Micro Lending Platform,Delhi,"Triodos Investment Management,",Debt Funding,6900000,2017,11
Ecom Express,Logistics,Logistics Solutions provider,Delhi,Warburg Pincus,Private Equity,30000000,2017,11
Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000,2017,11
3HCare,Consumer Internet,Healthcare services portal,Delhi,Undisclosed Investor,Seed/Angel Funding,100000,2017,11
Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000,2017,11
Get My Parking,Consumer Internet,Smart Parking Enabler,Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000,2017,11
Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000,2017,11
Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44000000,2017,11
The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,"DSG Consumer Partners, Saama Capital",Private Equity,1000000,2017,11
High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000,2017,11
Homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,1000000,2017,11
Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed/Angel Funding,422000,2017,11
Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000,2017,11
Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000,2017,11
MyUpchar,Consumer Internet,Local Language Health Information portal,Delhi,LetsVenture,Seed/Angel Funding,300000,2017,11
Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,1000000,2017,11
TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1300000,2017,11
Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed/Angel Funding,500000,2017,11
SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed/Angel Funding,300000,2017,11
TruxApp,Logistics,Mobile based Logistics Service,Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed/Angel Funding,3100000,2017,11
CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Factor[e] Ventures,Seed/Angel Funding,783000,2017,11
Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,2500000000,2017,11
Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurugram,Tekne Capital Management,Private Equity,36000000,2017,11
Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed/Angel Funding,312000,2017,11
KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed/Angel Funding,385000,2017,11
Rootefy,eCommerce,Building material online store,Delhi,"Abhinav Gupta,",Seed/Angel Funding,187000,2017,11
Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,6800000,2017,11
Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed/Angel Funding,734000,2017,11
Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed/Angel Funding,500000,2017,10
Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed/Angel Funding,750000,2017,10
Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed/Angel Funding,125000,2017,10
Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000,2017,10
CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000,2017,10
Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed/Angel Funding,750000,2017,10
Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000,2017,10
